Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Male,31,Lecturer ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,"Sylhet, Bangladesh ",1,2,Teacher (Local)
Female,22,Bachelor ,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No publication ,No publication ,Student (Local)
Female,21,Bachelor,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No,No,Student (Local)
Male,23,Bachelor,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Economics & Rural Sociology,Bangladesh ,0,0,Student (Local)
Male,27,Masters ,Sylhet Ahricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Germany ,0,5,Student (Local)
Male,26, Masters , Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Engineering & Technology,Bangladesh ,0,0,Student (Local)
Male,37,Assistant professor,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),PhD,Agricultural Engineering & Technology,Bangladesh,10,6,Teacher (Local)
Male,24,Fourth year ,SAU ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Microbiology,Bangladesh ,No,No,Student (Local)
Male,30,Bachelor,Sylhet agricultural university,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Dhaka,Single publication,None,Student (Local)
Male,30,Masters,ICDDRB ,"icddr,b",Research Organization,Masters/MS,Microbiology,Bangladesh,1,1,Researcher (Local/abroad)
Female,23,Master’s ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,None,None,Student (Local)
Male,47,Professor,Bangladesh Agricultural University,Bangladesh Agricultural University,Public University (Agriculture),PhD,Agriculture,Bangladesh,25,5,Teacher (Local)
Male,28,Medica Technologist,Institute of British Colombia medical technology Dhaka ,Institute of British Colombia medical technology Dhaka,Abroad University,Diploma,Laboratory Medicine ,Bangladesh ,No,No,Service (Local/abroad)
Male,22,Third year,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Engineering & Technology,Bangladesh ,No,No,Student (Local)
Male,24,masters,SAU,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,0,0,Student (Local)
Female,23,Master's,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,N/A,N/A,Student (Local)
Male,22,Bsc.Ag.(Hon's); Level-4 Semester-1,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,Not available ,Not available ,Student (Local)
Female,23,"B.Sc in Agriculture (Level-4, semeseter-1)",Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh,Null,Null,Student (Local)
Female,23,Bachelor Fourth year,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),"HSC, Bachelor",Agriculture,Bangladesh,0,0,Student (Local)
Male,23,Forth year ,Sylhet agricultural university ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,0,0,Student (Local)
Female,23,Bachelor fourth year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,0,0,Student (Local)
Female,23,Forth year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,Not yet,Not yet,Student (Local)
Male,24,Forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),"HSC, Bachelor",Agriculture,Sylhet ,0,0,Student (Local)
Female,25,Forth year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Biochemistry,Bangladesh ,0,0,Student (Local)
Male,37,Statistician ,"icddr,b","icddr,b",Research Organization,Masters/MS,STATISTICS ,Bangladesh ,1,28,Researcher (Local/abroad)
Male,21,Forth Year,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Sylhet,0,0,Student (Local)
Male,24,fourth year,"Sylhet Agricultural University,Sylhet ",Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Female,22,Master's ,Sylhet Agricultural University  ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,No publication,0,Student (Local)
Male,22,Bachelor (Fourth Year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),"HSC, Bachelor",Agriculture,Bangladesh,0,0,Student (Local)
Female,22,Bachelor fourth year,"Sylhet Agricultural University, Sylhet ",Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,0,0,Student (Local)
Male,23,Bachelor (fourth year),Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh,0,0,Student (Local)
Female,23,Forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Sylhet,No,No,Student (Local)
Female,24,Bachelor Fourth Year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Male,24,Bachelor (forth year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh,0,0,Student (Local)
Female,23,Msc 1st year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agroforestry and environmental science ,Bangladesh ,0,4,Student (Local)
Female,23,4th year ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,2,2,Student (Local)
Female,22,Master’s ,Sylhet Agricultural University   ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,N/A,N/A,Student (Local)
Female,23,Master's,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,0,0,Student (Local)
Female,25,Masters in Microbiology,Bangladesh Agricultural University ,Bangladesh Agricultural University,Public University (Agriculture),Bachelor,Veterinary Science,Bangladesh ,0,1,Student (Local)
Male,24,Bachelor(Fourth Year),Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,N/A,N/A,Student (Local)
Female,23,completed Bsc in agriculture,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,0,0,Student (Local)
Prefer not to say,23,Forth,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Male,23,Forth Year,Sylhet Agricultural University     ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,0,0,Student (Local)
Male,23,Fourth year,Sylhet agricultural university ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Sylhet ,Zero,Zerp,Student (Local)
Female,23,B.Sc. Ag (hons) fourth year ,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,0,0,Student (Local)
Female,23,Bachelor forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,None,None,Student (Local)
Female,23,Bachelor Forth Year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,Null,Null,Student (Local)
Female,23,Bachelor of Science in Agriculture honours (Forth year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Female,23,Forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,No,No,Student (Local)
Female,23,Forth,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,zero,Zero,Student (Local)
Female,21,Bachelor (forth year),Sylhet agricultural university ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,0,No publication,Student (Local)
Female,22,Bachelor forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,0,0,Student (Local)
Female,22,Bachelor forth year,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,Zero,No publication,Student (Local)
Male,21,Bachelor 3rd year,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,0,0,Student (Local)
Male,22,Third,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Bachelor,Agricultural Engineering & Technology,Dhaka,0,0,Student (Local)
Male,23,Bachelor ,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,None,None,Student (Local)
Male,23,Third,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,No,No,Student (Local)
Female,23,Fourth year,Sher-e-Bangla agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,No,No,Student (Local)
Female,23,4th,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Male,27,Master's,Sylhet Agricultural University,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh,1,0,Researcher (Local/abroad)
Female,22,Forth Year,Sher e Bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh,No,No,Student (Local)
Female,23,Bachelor ( Forth Year),Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,None,None,Student (Local)
Male,24,4th year,Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Male,25,B.Sc.Ag.Horns.) L4 S2,Sher-e-bangla agricultural university ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,Yes,Yes,Teacher (Local)
Female,24,4th year,Sher-e-Bangla Agricultural University  ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,None,None,Student (Local)
Male,22,4th year,Sher-e Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh,None,None,Student (Local)
Male,31,Assistant Professor ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Veterinary Science,Bangladesh ,3,2,Teacher (Local)
Female,24,Forth year,Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Sher-e-Bangla Agricultural University ,0,0,Student (Local)
Male,25,4th year,Sher-e-bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh,0,0,Student (Local)
Male,25,Forth Year,Sher-e-bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,1,0,Student (Local)
Male,23,Forth year,Sher-e-Bangla agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,1,1,Student (Local)
Female,22,Third,Sylhet agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agricultural Engineering & Technology,Bangladesh ,2,0,Student (Local)
Female,23,Fourth year ,Sylhet Agricultural  University ,Sylhet Agricultural  University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
Female,23,Forth year,Sher e bangla agricultural university.,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,None,None,Student (Local)
Prefer not to say,23,Bachelor(4th year),Sher-e-Bangla Agricultural University,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,No,No,Student (Local)
Female,24,Forth year,Sher-e-Bangla agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,None,None,Student (Local)
Male,25,Bsc ag.(hons.),Shere bangla agricultural university ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,No,No,Student (Local)
Male,29,Master's ,Sylhet Agricultural University ,Sylhet Agricultural  University,Public University (Agriculture),Masters/MS,Agricultural Engineering & Technology,USA,1,4,Teacher (Local)
Male,23,Bachelor (Forth Year),Sher-e Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),Bachelor,Agriculture,Bangladesh ,None,None,Student (Local)
Female,24,4th year,Sher-e-Bangla Agricultural University ,Sher -e-Bangla Agricultural University,Public University (Agriculture),HSC,Agriculture,Bangladesh ,0,0,Student (Local)
